Name;Objective;Duration;Availability (time);Availability (energy);Prod losses (annual);Direct costs (annual);Vessel costs (annual);Repair costs (annual);Technician costs (annual);Vessels;Pattern;Turbines;Months
Al_Co_Ha_18;7000508,200000;0,049000;96,410976;96,387714;1857967,466667;2663216,666667;805000,000000;1524866,666667;333350,000000;Al;Co;Ha;18;
Al_Co_Ha_24;9650317,000000;0,070000;96,140466;96,177774;1963139,800000;2684232,500000;787500,000000;1580050,000000;316682,500000;Al;Co;Ha;24;
Al_Co_Ha_36;15956698,600000;0,122000;95,965278;95,980608;2020617,066667;3086861,666667;840000,000000;1902400,000000;344461,666667;Al;Co;Ha;36;
Al_Co_Ra_18;4836433,200000;0,044000;96,475468;96,581623;1391086,666667;1676966,666667;560000,000000;894733,333333;222233,333333;Al;Co;Ra;18;
Al_Co_Ra_24;6624162,600000;0,063000;96,572870;96,570971;1458270,200000;1694645,500000;551250,000000;900050,000000;243345,500000;Al;Co;Ra;24;
Al_Co_Ra_36;11092379,400000;0,127000;96,554807;96,574678;1478559,733333;2051046,333333;700000,000000;1091033,333333;260013,000000;Al;Co;Ra;36;
Al_Wa_Ba_18;5904477,400000;0,041000;96,739506;96,749078;1686814,666667;2065902,000000;770000,000000;1033666,666667;262235,333333;Al;Wa;Ba;18;
Al_Wa_Ba_24;8920995,000000;0,071000;96,350444;96,370898;1776937,600000;2497648,500000;761250,000000;1433050,000000;303348,500000;Al;Wa;Ba;24;
Al_Wa_Ba_36;11736020,000000;0,133000;96,738483;96,746247;1618528,533333;2150913,333333;752500,000000;1131733,333333;266680,000000;Al;Wa;Ba;36;
Al_Wa_Eq_18;5350002,800000;0,039000;97,033159;97,035623;1564068,800000;1807366,666667;665000,000000;920133,333333;222233,333333;Al;Wa;Eq;18;
Al_Wa_Eq_24;7887301,200000;0,062000;96,862195;96,922515;1587804,000000;2174163,000000;735000,000000;1179150,000000;260013,000000;Al;Wa;Eq;24;
Al_Wa_Eq_36;12901167,600000;0,147000;96,349489;96,349242;1674076,000000;2405125,333333;770000,000000;1350666,666667;284458,666667;Al;Wa;Eq;36;
Al_Wa_Ha_18;7770239,400000;0,046000;96,147820;96,176456;1979939,733333;2954816,666667;840000,000000;1781466,666667;333350,000000;Al;Wa;Ha;18;
Al_Wa_Ha_24;9380020,800000;0,072000;96,389583;96,404442;1865923,000000;2516415,000000;813750,000000;1402650,000000;300015,000000;Al;Wa;Ha;24;
Al_Wa_Ha_36;14031133,400000;0,133000;96,435021;96,496027;1769008,000000;2761604,333333;857500,000000;1595200,000000;308904,333333;Al;Wa;Ha;36;
Al_Wa_Ra_18;4559978,000000;0,044000;97,146493;97,180633;1364537,333333;1533944,000000;595000,000000;725600,000000;213344,000000;Al;Wa;Ra;18;
Al_Wa_Ra_24;7008284,600000;0,061000;96,403453;96,456823;1397734,200000;1807911,500000;551250,000000;1026650,000000;230011,500000;Al;Wa;Ra;24;
Al_Wa_Ra_36;11560014,800000;0,121000;96,723756;96,789283;1462643,866667;2215256,666667;665000,000000;1305800,000000;244456,666667;Al;Wa;Ra;36;
Cr_Bi_Ba_18;9236059,800000;0,053000;93,985687;94,009193;3524422,133333;1866635,333333;995000,000000;609400,000000;262235,333333;Cr;Bi;Ba;18;
Cr_Bi_Ba_24;12978515,600000;0,057000;93,159375;93,174333;3911598,400000;1977580,000000;1046250,000000;664650,000000;266680,000000;Cr;Bi;Ba;24;
Cr_Bi_Ba_36;23314495,800000;0,160000;91,566298;91,661847;4900174,533333;2274857,666667;1287500,000000;722900,000000;264457,666667;Cr;Bi;Ba;36;
Cr_Bi_Eq_18;6859928,000000;0,044000;95,557103;95,636153;2410874,933333;1670834,666667;925000,000000;496933,333333;248901,333333;Cr;Bi;Eq;18;
Cr_Bi_Eq_24;10447641,400000;0,074000;94,839953;94,866283;2875554,000000;1944628,500000;1098750,000000;609200,000000;236678,500000;Cr;Bi;Eq;24;
Cr_Bi_Eq_36;20408408,800000;0,361000;93,015356;93,122829;3741290,666667;2622613,333333;1590000,000000;765933,333333;266680,000000;Cr;Bi;Eq;36;
Cr_Bi_Ha_18;9397504,000000;0,064000;93,985590;94,005031;3120021,866667;2614681,333333;1375000,000000;946333,333333;293348,000000;Cr;Bi;Ha;18;
Cr_Bi_Ha_24;18793655,400000;0,067000;88,263137;88,408367;5986502,800000;2612331,500000;1526250,000000;789400,000000;296681,500000;Cr;Bi;Ha;24;
Cr_Bi_Ha_36;28061894,600000;0,333000;91,762915;91,886767;4129367,200000;4551015,000000;3040000,000000;1211000,000000;300015,000000;Cr;Bi;Ha;36;
Cr_Bi_Ra_18;6981273,400000;0,053000;95,707130;95,711693;2158759,200000;1985011,333333;1270000,000000;488333,333333;226678,000000;Cr;Bi;Ra;18;
Cr_Bi_Ra_24;10097669,800000;0,075000;93,605522;93,594011;2894266,200000;1717994,500000;1072500,000000;422150,000000;223344,500000;Cr;Bi;Ra;24;
Cr_Bi_Ra_36;20077237,800000;0,141000;92,217509;92,274310;4043464,400000;2124635,000000;1227500,000000;641566,666667;255568,333333;Cr;Bi;Ra;36;
Cr_Co_Ba_18;9353678,600000;0,046000;93,609915;93,696149;3724707,200000;1765832,666667;960000,000000;596933,333333;208899,333333;Cr;Co;Ba;18;
Cr_Co_Ba_24;10305470,200000;0,075000;95,516522;95,519690;2613291,800000;2031927,500000;1136250,000000;679000,000000;216677,500000;Cr;Co;Ba;24;
Cr_Co_Ba_36;17993718,200000;0,151000;93,898655;93,938314;3322848,666667;2278166,333333;1305000,000000;757600,000000;215566,333333;Cr;Co;Ba;36;
Cr_Co_Eq_18;8247610,400000;0,054000;94,968214;95,005805;2894311,200000;1985009,333333;1200000,000000;598333,333333;186676,000000;Cr;Co;Eq;18;
Cr_Co_Eq_24;12269394,400000;0,085000;92,913253;93,029086;3686102,200000;1911727,000000;1031250,000000;673800,000000;206677,000000;Cr;Co;Eq;24;
Cr_Co_Eq_36;21695589,600000;0,119000;91,473977;91,514202;4643622,800000;2067955,333333;1150000,000000;700166,666667;217788,666667;Cr;Co;Eq;36;
Cr_Co_Ha_18;9981030,400000;0,044000;93,313927;93,306440;3504610,933333;2573924,000000;1410000,000000;906133,333333;257790,666667;Cr;Co;Ha;18;
Cr_Co_Ha_24;15254168,800000;0,065000;90,608160;90,704579;4805394,400000;2223345,000000;1215000,000000;775000,000000;233345,000000;Cr;Co;Ha;24;
Cr_Co_Ha_36;31736787,600000;1,319000;89,992072;90,035916;5035164,933333;4657602,000000;2702500,000000;1692866,666667;262235,333333;Cr;Co;Ha;36;
Cr_Co_Ra_18;6534138,000000;0,045000;95,580664;95,631326;2265597,600000;1432518,666667;905000,000000;376400,000000;151118,666667;Cr;Co;Ra;18;
Cr_Co_Ra_24;9969950,400000;0,074000;92,890359;92,884001;2681692,200000;1763042,000000;1068750,000000;520950,000000;173342,000000;Cr;Co;Ra;24;
Cr_Co_Ra_36;21162104,000000;0,136000;91,189404;91,219570;4669749,466667;1819976,666667;1010000,000000;609966,666667;200010,000000;Cr;Co;Ra;36;
Cr_Wa_Ba_18;8854632,800000;0,049000;94,006629;94,077273;3334695,733333;2015810,666667;1115000,000000;687466,666667;213344,000000;Cr;Wa;Ba;18;
Cr_Wa_Ba_24;12672068,400000;0,087000;93,402019;93,475130;3671088,200000;2071844,000000;1136250,000000;722250,000000;213344,000000;Cr;Wa;Ba;24;
Cr_Wa_Ba_36;23596765,400000;0,129000;90,129363;90,224844;5410949,866667;1929322,333333;1037500,000000;667366,666667;224455,666667;Cr;Wa;Ba;36;
Cr_Wa_Eq_18;7772180,600000;0,045000;94,750815;94,769479;2837497,866667;1813987,333333;1080000,000000;542866,666667;191120,666667;Cr;Wa;Eq;18;
Cr_Wa_Eq_24;10777949,400000;0,061000;94,788622;94,799468;2990215,000000;1807710,500000;967500,000000;630200,000000;210010,500000;Cr;Wa;Eq;24;
Cr_Wa_Eq_36;18192737,600000;0,136000;93,998493;94,012775;3437865,733333;2198833,333333;1252500,000000;724100,000000;222233,333333;Cr;Wa;Eq;36;
Cr_Wa_Ha_18;10681090,600000;0,060000;92,292091;92,274107;4049661,066667;2308123,333333;1150000,000000;913666,666667;244456,666667;Cr;Wa;Ha;18;
Cr_Wa_Ha_24;15359265,400000;0,065000;91,095009;91,212913;4534892,600000;2537378,500000;1500000,000000;800700,000000;236678,500000;Cr;Wa;Ha;24;
Cr_Wa_Ha_36;25798801,600000;0,144000;92,667245;92,763422;3689108,533333;4390590,000000;2987500,000000;1158633,333333;244456,666667;Cr;Wa;Ha;36;
Cr_Wa_Ra_18;5781229,200000;0,036000;95,838382;95,883680;2104285,866667;1280630,666667;750000,000000;361733,333333;168897,333333;Cr;Wa;Ra;18;
Cr_Wa_Ra_24;8259857,200000;0,062000;95,182753;95,214819;2248697,000000;1432592,000000;783750,000000;475500,000000;173342,000000;Cr;Wa;Ra;24;
Cr_Wa_Ra_36;18882177,800000;0,144000;92,640557;92,697269;3971494,400000;1848887,666667;1035000,000000;616100,000000;197787,666667;Cr;Wa;Ra;36;
CT_Bi_Ba_18;9927655,600000;0,048000;92,593692;92,684563;3975462,133333;2084769,333333;1150000,000000;659200,000000;275569,333333;CT;Bi;Ba;18;
CT_Bi_Ba_24;13809151,000000;0,069000;92,805134;92,874645;4173139,000000;2143947,500000;1215000,000000;645600,000000;283347,500000;CT;Bi;Ba;24;
CT_Bi_Ba_36;21920155,000000;0,129000;92,130905;92,195340;4354284,133333;2404525,666667;1357500,000000;755900,000000;291125,666667;CT;Bi;Ba;36;
CT_Bi_Eq_18;8429370,200000;0,049000;94,598640;94,594362;3058341,333333;1792746,000000;960000,000000;579400,000000;253346,000000;CT;Bi;Eq;18;
CT_Bi_Eq_24;11475802,200000;0,098000;94,329251;94,430175;3075606,400000;2087845,500000;1215000,000000;629500,000000;243345,500000;CT;Bi;Eq;24;
CT_Bi_Eq_36;25996700,000000;0,173000;90,003191;90,057752;5576784,400000;2436280,666667;1400000,000000;756266,666667;280014,000000;CT;Bi;Eq;36;
CT_Bi_Ha_18;10431365,400000;0,056000;93,125174;93,102770;3584792,266667;2784659,333333;1550000,000000;936866,666667;297792,666667;CT;Bi;Ha;18;
CT_Bi_Ha_24;17865476,600000;0,113000;89,115162;89,226644;5564130,800000;2556431,500000;1462500,000000;797250,000000;296681,500000;CT;Bi;Ha;24;
CT_Bi_Ha_36;27445392,800000;0,154000;92,932456;93,011436;3543586,133333;4934204,666667;3160000,000000;1458633,333333;315571,333333;CT;Bi;Ha;36;
CT_Bi_Ra_18;6196198,000000;0,043000;95,407674;95,425474;2272352,533333;1388189,333333;820000,000000;337066,666667;231122,666667;CT;Bi;Ra;18;
CT_Bi_Ra_24;9405403,600000;0,075000;95,214231;95,306178;2274041,000000;1878796,000000;1136250,000000;489200,000000;253346,000000;CT;Bi;Ra;24;
CT_Bi_Ra_36;19522696,400000;0,156000;92,971223;93,037155;3824931,333333;2175846,000000;1305000,000000;617500,000000;253346,000000;CT;Bi;Ra;36;
CT_Co_Ba_18;8187902,200000;0,044000;94,757542;94,753517;3131365,600000;1835812,666667;960000,000000;622466,666667;253346,000000;CT;Co;Ba;18;
CT_Co_Ba_24;14397349,000000;0,094000;92,482452;92,537884;4192268,200000;2418713,500000;1395000,000000;753700,000000;270013,500000;CT;Co;Ba;24;
CT_Co_Ba_36;22761600,200000;0,137000;91,966941;92,017922;4775930,400000;2213513,666667;1210000,000000;730166,666667;273347,000000;CT;Co;Ba;36;
CT_Co_Eq_18;9881697,000000;0,044000;92,883872;92,886727;4144720,000000;1615767,333333;890000,000000;490200,000000;235567,333333;CT;Co;Eq;18;
CT_Co_Eq_24;11787565,000000;0,078000;93,999798;93,966401;3291042,800000;1953178,500000;1083750,000000;632750,000000;236678,500000;CT;Co;Eq;24;
CT_Co_Eq_36;22323862,400000;0,158000;91,504298;91,535393;4723816,133333;2213291,333333;1200000,000000;742166,666667;271124,666667;CT;Co;Eq;36;
CT_Co_Ha_18;10082116,000000;0,044000;92,360725;92,376378;3985316,266667;2185237,333333;1030000,000000;853000,000000;302237,333333;CT;Co;Ha;18;
CT_Co_Ha_24;13550869,600000;0,077000;92,983261;93,070943;3585412,200000;2626881,000000;1447500,000000;892700,000000;286681,000000;CT;Co;Ha;24;
CT_Co_Ha_36;26801681,000000;0,129000;92,470033;92,525439;3780621,600000;4629670,333333;3030000,000000;1304100,000000;295570,333333;CT;Co;Ha;36;
CT_Co_Ra_18;5847133,800000;0,038000;95,774147;95,803014;2090398,133333;1417923,333333;820000,000000;353466,666667;244456,666667;CT;Co;Ra;18;
CT_Co_Ra_24;9510067,600000;0,075000;94,351260;94,303608;2762987,400000;1473728,000000;783750,000000;463300,000000;226678,000000;CT;Co;Ra;24;
CT_Co_Ra_36;18132504,200000;0,131000;93,283640;93,303237;3661568,133333;1971946,333333;1122500,000000;589433,333333;260013,000000;CT;Co;Ra;36;
CT_Wa_Ba_18;8445898,600000;0,057000;94,836535;94,949861;2748176,266667;2297835,333333;1305000,000000;730600,000000;262235,333333;CT;Wa;Ba;18;
CT_Wa_Ba_24;11166117,600000;0,078000;94,592154;94,642605;3062876,400000;2076763,000000;1162500,000000;654250,000000;260013,000000;CT;Wa;Ba;24;
CT_Wa_Ba_36;24476352,600000;0,148000;91,020599;91,064570;5082739,466667;2397813,666667;1382500,000000;741966,666667;273347,000000;CT;Wa;Ba;36;
CT_Wa_Eq_18;7850577,400000;0,050000;95,310068;95,286883;2647478,400000;2039390,000000;1270000,000000;524933,333333;244456,666667;CT;Wa;Eq;18;
CT_Wa_Eq_24;10980491,800000;0,077000;93,824915;93,874134;3208541,800000;1808528,500000;941250,000000;630600,000000;236678,500000;CT;Wa;Eq;24;
CT_Wa_Eq_36;21760216,600000;0,152000;92,450345;92,449872;4391311,600000;2334013,000000;1340000,000000;734000,000000;260013,000000;CT;Wa;Eq;36;
CT_Wa_Ha_18;10760023,400000;0,057000;93,289043;93,275510;3501391,733333;3086592,666667;1755000,000000;1033800,000000;297792,666667;CT;Wa;Ha;18;
CT_Wa_Ha_24;14584944,800000;0,072000;92,062977;92,179896;4094963,400000;2586199,000000;1500000,000000;772850,000000;313349,000000;CT;Wa;Ha;24;
CT_Wa_Ha_36;26592524,800000;0,146000;92,642467;92,761009;3664410,266667;4686961,333333;3005000,000000;1344166,666667;337794,666667;CT;Wa;Ha;36;
CT_Wa_Ra_18;5675266,800000;0,048000;96,250042;96,246156;1908153,066667;1500856,000000;940000,000000;329733,333333;231122,666667;CT;Wa;Ra;18;
CT_Wa_Ra_24;7962146,600000;0,060000;94,904330;94,925193;2188537,600000;1360045,500000;693750,000000;422950,000000;243345,500000;CT;Wa;Ra;24;
